MANDT,MSEHI,KZEX3,KZEX6,ANDEC,KZKEH,KZWOB,KZ1EH,KZ2EH,DIMID,ZAEHL,NENNR,EXP10,ADDKO,EXPON,DECAN,ISOCODE,PRIMARY,TEMP_VALUE,TEMP_UNIT,FAMUNIT,PRESS_VAL,PRESS_UNIT
"812","VPM","X","X",0,"","","","","VPROPO",1,1,-6,"0.000000",0,0,"","",0,"","",0,""
"000","V02","X","X",0,"X","","","","ACBAC",1,1,0,"0.000000",0,3,"C36","",0,"","",0,""
"812","VPT","X","X",0,"","","","","VPROPO",1,1,-12,"0.000000",0,0,"","",0,"","",0,""
"000","VAL","X","X",0,"X","X","","","AAAADL",1,1,0,"0.000000",0,0,"","",0,"","",0,""
"812","W","X","X",0,"","","","","POWER",1,1,0,"0.000000",0,0,"WTT","X",0,"","",0,""
"000","VPB","X","X",0,"","","","","VPROPO",1,1,-9,"0.000000",0,0,"","",0,"","",0,""
"000","10","X","X",0,"X","","","","TIME",86400,1,0,"0.000000",0,0,"DAY","",0,"","",0,""
"000","VPM","X","X",0,"","","","","VPROPO",1,1,-6,"0.000000",0,0,"","",0,"","",0,""
"000","ACR","X","X",0,"X","","","","SURFAC",1210000,299,0,"0.000000",0,0,"","",0,"","",0,""
"000","VPT","X","X",0,"","","","","VPROPO",1,1,-12,"0.000000",0,0,"","",0,"","",0,""
"000","BB6","X","X",3,"X","","","","VOLUME",41225904,259303135,0,"0.000000",0,3,"","",0,"","",0,""
"000","W","X","X",0,"","","","","POWER",1,1,0,"0.000000",0,0,"WTT","X",0,"","",0,""
"000","BBL","X","X",3,"X","","","","VOLUME",41225904,259303135,0,"0.000000",0,3,"","",0,"","",0,""
"000","BCF","X","X",0,"X","","","","VOLUME",28316736,1,-3,"0.000000",0,0,"","",0,"","",0,""
"000","WMK","X","X",0,"X","","","","THCOND",1,1,0,"0.000000",0,0,"D53","",0,"","",0,""
"000","BUI","X","X",0,"X","","","","VOLUME",363687222,1,-11,"0.000000",0,0,"","",0,"","",0,""
"000","WTL","X","X",0,"X","","","","EVARA",1,1,0,"0.000000",0,0,"","",0,"","",0,""
