"MANDT",DIMID,"LENG","MASS","TIMEX","ECURR","TEMP","MOLQU","LIGHT","MSSIE","TEMP_DEP","PRESS_DEP"
"900","VISDYN",0,1,0,0,0,0,0,"PAS",,
"900","VISKIN",2,0,0,0,0,0,0,"M2S",,
"900","VOLFLO",3,0,0,0,0,0,0,"M3S",,
"900","VOLTAG",2,1,0,0,0,0,0,"V",,
"900","VOLUME",3,0,0,0,0,0,0,"M3",,
"900","VPROPO",0,0,0,0,0,0,12,"KMK",,
"909","AAAADL",0,0,0,0,0,0,0,,,
"909","ACBAC",0,0,0,0,0,1,0,"C36",,
"909","ACCEL",1,0,0,0,0,0,0,"MS2",,
"909","CAPACI",0,0,4,2,0,0,0,"F",,
"909","CONDUC",0,0,3,2,0,0,0,"D10",,
"909","DENSI",0,1,0,0,0,0,0,"KGV",,
"909","ECURR",0,0,0,1,0,0,0,"A",,
"909","ENERGY",2,1,0,0,0,0,0,"J",,
"909","EVARA",0,1,0,0,0,0,0,,,
"909","FORCE",1,1,0,0,0,0,0,"N",,
"909","FREQU",0,0,0,0,0,0,0,"HZ",,
"707","FREQU",0,0,0,0,0,0,0,"HZ",,
"909","HYDROL",3,0,0,0,0,0,0,"LMS",,
"909","LENGTH",1,0,0,0,0,0,0,"M",,
"707","HYDROL",3,0,0,0,0,0,0,,,
"707","LENGTH",1,0,0,0,0,0,0,"M",,
"909","LIGHT",0,0,0,0,0,0,1,"CD",,
"707","LIGHT",0,0,0,0,0,0,1,"CD",,
"909","MAGNFD",0,1,0,0,0,0,0,"TES",,
"707","MAGNFD",0,1,0,0,0,0,0,,,
"909","MAPER",0,0,2,0,0,0,0,"kgj",,
"707","MAPER",0,0,2,0,0,0,0,"kgj",,
"707","MASFLO",0,1,0,0,0,0,0,"KGS",,
"909","MASFLO",0,1,0,0,0,0,0,"KGS",,
"707","MASS",0,1,0,0,0,0,0,"KG",,
"909","MASS",0,1,0,0,0,0,0,"KG",,
"505","MOLQU",0,0,0,0,0,1,0,"MOL",,
"707","MASSBD",0,1,0,0,0,0,0,,,
"909","MASSBD",0,1,0,0,0,0,0,"KGF",,
"707","MOENER",2,1,0,0,0,1,0,,,
"909","MOENER",2,1,0,0,0,1,0,"JMO",,
"505","MPROPO",0,0,0,0,0,0,11,,,
"707","MOLMAS",0,1,0,0,0,0,0,,,
"909","MOLMAS",0,1,0,0,0,0,0,"KGM",,
"707","MOLQU",0,0,0,0,0,1,0,"MOL",,
"909","MOLQU",0,0,0,0,0,1,0,"MOL",,
"505","POINTS",0,0,0,0,0,0,9,"P",,
"707","MPROPO",0,0,0,0,0,0,11,,,
"909","MPROPO",0,0,0,0,0,0,11,"KGK",,
"707","POINTS",0,0,0,0,0,0,9,"P",,
"909","PERMEA",0,1,0,0,0,0,10,"PMR",,
"505","POWER",2,1,0,0,0,0,0,"W",,
"707","POWER",2,1,0,0,0,0,0,"W",,
"909","POINTS",0,0,0,0,0,0,9,"P",,
"707","PRESS",0,1,0,0,0,0,0,"PA",,
"505","PRESS",0,1,0,0,0,0,0,"PA",,
"909","POWER",2,1,0,0,0,0,0,"W",,
"707","PROPOR",0,0,0,0,0,0,10,,,
"909","PRESS",0,1,0,0,0,0,0,"PA",,
"707","RESIST",2,1,0,0,0,0,0,"OHM",,
"505","PROPOR",0,0,0,0,0,0,10,,,
"909","PROPOR",0,0,0,0,0,0,10,"1",,
"707","ROUNDS",1,0,1,0,0,0,0,,,
"909","RESIST",2,1,0,0,0,0,0,"OHM",,
"505","RESIST",2,1,0,0,0,0,0,"OHM",,
"707","SDL",0,0,0,0,0,0,22,,,"X"
"909","SPAEQU",0,0,0,0,0,1,0,"MOK",,
