"MANDT","WAERS","ISOCD","ALTWR","GDATU","XPRIMARY"
"001","ZAR","ZAR","710","00000000",""
"000","ADP","ADP","020","00000000",""
"001","ZMK","ZMK","894","00000000",""
"000","AED","AED","784","00000000",""
"001","ZRN","ZRN","180","00000000",""
"000","AFA","AFA","004","00000000",""
"001","ZWD","ZWD","716","00000000",""
"000","AFN","AFN","971","00000000",""
"066","EUR","EUR","","00000000",""
"000","ALL","ALL","008","00000000",""
"800","ADP","ADP","020","00000000",""
"000","BDT","BDT","050","00000000",""
"800","AED","AED","784","00000000",""
"000","BEF","BEF","056","00000000",""
"800","AFA","AFA","004","00000000",""
"000","BGN","BGN","975","00000000",""
"800","AFN","AFN","971","00000000",""
"000","BHD","BHD","048","00000000",""
"800","ALL","ALL","008","00000000",""
"000","BIF","BIF","108","00000000",""
"800","AMD","AMD","051","00000000",""
"000","BMD","BMD","060","00000000",""
"800","AOK","AOK","","00000000",""
"000","BND","BND","096","00000000",""
"800","ARA","ARA","","00000000",""
"000","BOB","BOB","068","00000000",""
"800","AUD4","AUD","","00000000",""
"000","BRL","BRL","986","00000000",""
"800","AUD5","AUD","","00000000",""
"000","BSD","BSD","044","00000000",""
"800","BAD","BAD","","00000000",""
"000","BTN","BTN","064","00000000",""
"800","BGL","BGL","","00000000",""
"000","BWP","BWP","072","00000000",""
"800","BRC","BRC","","00000000",""
"000","BYB","BYB","112","00000000",""
"000","BYR","BYR","974","00000000",""
"000","BZD","BZD","084","00000000",""
"000","CAD","CAD","124","00000000",""
"000","CDF","CDF","976","00000000",""
"000","CFP","XPF","953","00000000",""
"000","CHF","CHF","756","00000000",""
"000","CLP","CLP","152","00000000",""
"811","KIS","KIS","","00000000",""
"000","CNY","CNY","156","00000000","X"
"000","COP","COP","170","00000000",""
"811","KMF","KMF","","00000000",""
"811","KPW","KPW","","00000000",""
"000","CRC","CRC","188","00000000",""
"811","KRW","KRW","","00000000",""
"000","CSD","CSD","891","00000000",""
"811","KWD","KWD","","00000000",""
"000","CUP","CUP","192","00000000",""
"811","KYD","KYD","","00000000",""
"000","CVE","CVE","132","00000000",""
"000","CYP","CYP","196","00000000",""
"811","KZT","KZT","","00000000",""
"000","CZK","CZK","203","00000000",""
"811","LAK","LAK","","00000000",""
"000","DEM","DEM","280","00000000","X"
"811","LBP","LBP","","00000000",""
"000","DEM3","DEM","280","00000000",""
"811","LKR","LKR","","00000000",""
"000","DJF","DJF","262","00000000",""
"811","LRD","LRD","","00000000",""
"000","DKK","DKK","208","00000000",""
"811","LSL","LSL","","00000000",""
"000","DOP","DOP","214","00000000",""
"811","LTL","LTL","","00000000",""
"000","DZD","DZD","012","00000000",""
"811","LUF","LUF","","00000000",""
"000","ECS","ECS","218","00000000",""
"811","LVL","LVL","","00000000",""
"000","EEK","EEK","233","00000000",""
"811","LYD","LYD","","00000000",""
"000","EGP","EGP","818","00000000",""
"811","MAD","MAD","","00000000",""
"000","ERN","ERN","232","00000000",""
"811","MDL","MDL","","00000000",""
"000","ESP","ESP","724","00000000",""
"000","ETB","ETB","230","00000000",""
"811","MGF","MGF","","00000000",""
"000","EUR","EUR","978","00000000",""
"811","MRO","MRO","","00000000",""
"000","EUR4","EU4","978","00000000",""
"811","MTL","MTL","","00000000",""
"000","FIM","FIM","246","00000000",""
"811","MUR","MUR","","00000000",""
"000","FJD","FJD","242","00000000",""
"811","MVR","MVR","","00000000",""
"000","FKP","FKP","238","00000000",""
"811","MWK","MWK","","00000000",""
"000","FRF","FRF","250","00000000",""
"811","MXN","MXN","042","00000000",""
"000","GBP","GBP","826","00000000",""
"811","MXP","MXP","042","00000000",""
"000","GEL","GEL","981","00000000",""
"811","MYR","MYR","","00000000",""
"000","GHC","GHC","288","00000000",""
"811","MZM","MZM","","00000000",""
"000","GIP","GIP","292","00000000",""
"811","NGN","NGN","","00000000",""
"000","GMD","GMD","270","00000000",""
"811","NIC","NIC","","00000000",""
"000","GNF","GNF","324","00000000",""
"811","NLG","NLG","041","00000000",""
"000","GRD","GRD","300","00000000",""
"811","NOK","NOK","","00000000",""
"000","GTQ","GTQ","320","00000000",""
"811","NPR","NPR","","00000000",""
"000","GWP","GWP","624","00000000",""
"811","NZD","NZD","","00000000",""
"000","GYD","GYD","328","00000000",""
"811","OMR","OMR","","00000000",""
"000","HKD","HKD","344","00000000",""
"811","PAB","PAB","","00000000",""
"000","HNL","HNL","340","00000000",""
"811","PEI","PEI","","00000000",""
"000","HRK","HRK","191","00000000",""
"811","PGK","PGK","","00000000",""
"000","HTG","HTG","332","00000000",""
"000","HUF","HUF","348","00000000",""
"811","PHP","PHP","","00000000",""
"811","PKR","PKR","","00000000",""
"000","IDR","IDR","360","00000000",""
"811","PLZ","PLZ","","00000000",""
"000","IEP","IEP","372","00000000",""
"811","PTE","PTE","","00000000",""
"000","ILS","ILS","376","00000000",""
"811","PYG","PYG","","00000000",""
"000","INR","INR","356","00000000",""
"811","QAR","QAR","","00000000",""
"000","IQD","IQD","368","00000000",""
"000","IRR","IRR","364","00000000",""
"811","ROL","ROL","","00000000",""
"000","ISK","ISK","352","00000000",""
"811","RUB","RUR","RUR","00000000",""
"000","ITL","ITL","380","00000000",""
"000","JMD","JMD","388","00000000",""
"811","RWF","RWF","","00000000",""
"000","JOD","JOD","400","00000000",""
"811","SAR","SAR","","00000000",""
"000","JPY","JPY","392","00000000",""
"811","SBD","SBD","","00000000",""
"000","KES","KES","404","00000000",""
"000","KGS","KGS","417","00000000",""
"811","SCR","SCR","","00000000",""
"000","KHR","KHR","116","00000000",""
"811","SDP","SDP","","00000000",""
"000","KMF","KMF","174","00000000",""
"811","SEK","SEK","081","00000000",""
"000","KPW","KPW","408","00000000",""
"811","SGD","SGD","","00000000",""
"000","KRW","KRW","410","00000000",""
"811","SIT","SIT","","00000000",""
"000","KWD","KWD","414","00000000",""
"811","SKK","SKK","","00000000",""
"000","KYD","KYD","136","00000000",""
"811","SLL","SLL","","00000000",""
"000","KZT","KZT","398","00000000",""
"811","SOS","SOS","","00000000",""
"000","LAK","LAK","418","00000000",""
"811","SRG","SRG","","00000000",""
"000","LBP","LBP","422","00000000",""
"811","STD","STD","","00000000",""
"000","LKR","LKR","144","00000000",""
"811","SUR","SUR","","00000000",""
"000","LRD","LRD","430","00000000",""
"811","SVC","SVC","","00000000",""
"000","LSL","LSL","426","00000000",""
"811","SYP","SYP","","00000000",""
"000","LTL","LTL","440","00000000",""
"811","SZL","SZL","","00000000",""
"000","LUF","LUF","442","00000000",""
"000","LVL","LVL","428","00000000",""
"811","THB","THB","","00000000",""
"000","LYD","LYD","434","00000000",""
"811","TJR","TJR","","00000000",""
"000","MAD","MAD","504","00000000",""
"811","TMM","TMM","","00000000",""
"000","MDL","MDL","498","00000000",""
"811","TND","TND","","00000000",""
"000","MGA","MGA","969","00000000",""
"811","TOP","TOP","","00000000",""
"000","MGF","MGF","450","00000000",""
"811","TRL","TRL","","00000000",""
"000","MKD","MKD","807","00000000",""
"811","TTD","TTD","","00000000",""
"000","MMK","MMK","104","00000000",""
"811","TWD","TWD","","00000000",""
"000","MNT","MNT","496","00000000",""
"811","TZS","TZS","","00000000",""
"000","MOP","MOP","446","00000000",""
"811","UAK","UAK","","00000000",""
"000","MRO","MRO","478","00000000",""
"811","UGS","UGS","","00000000",""
"000","MTL","MTL","470","00000000",""
"811","USD","USD","011","00000000",""
"000","MUR","MUR","480","00000000",""
"811","UYP","UYP","","00000000",""
"000","MVR","MVR","462","00000000",""
"811","VEB","VEB","","00000000",""
"000","MWK","MWK","454","00000000",""
"811","VND","VND","","00000000",""
"000","MXN","MXN","484","00000000",""
"811","VUV","VUV","","00000000",""
"000","MYR","MYR","458","00000000",""
"811","WST","WST","","00000000",""
"000","MZM","MZM","508","00000000",""
"811","XAF","XAF","","00000000",""
"000","NAD","NAD","516","00000000",""
"811","XCD","XCD","","00000000",""
"000","NGN","NGN","566","00000000",""
"811","XOF","XOF","","00000000",""
"000","NIO","NIO","558","00000000",""
"811","YER","YER","","00000000",""
"000","NLG","NLG","528","00000000",""
"811","ZAR","ZAR","","00000000",""
"000","NOK","NOK","578","00000000",""
"811","ZMK","ZMK","","00000000",""
"000","NPR","NPR","524","00000000",""
"811","ZRZ","ZRZ","","00000000",""
"000","NZD","NZD","554","00000000",""
"811","ZWD","ZWD","","00000000",""
"000","NZD5","NZD","554","00000000",""
"812","ADP","ADP","","00000000",""
"000","OMR","OMR","512","00000000",""
"812","AED","AED","","00000000",""
"000","PAB","PAB","590","00000000",""
"812","AFA","AFA","","00000000",""
"000","PEN","PEN","604","00000000",""
"812","ALL","ALL","","00000000",""
"000","PGK","PGK","598","00000000",""
"812","AMD","AMD","","00000000",""
"812","ANG","ANG","","00000000",""
"000","PHP","PHP","608","00000000",""
"812","AON","AON","","00000000",""
"000","PKR","PKR","586","00000000",""
"812","ARS","ARS","","00000000",""
"000","PLN","PLN","985","00000000",""
"812","ATS","ATS","","00000000",""
"000","PTE","PTE","620","00000000",""
"812","AUD","AUD","","00000000",""
"000","PYG","PYG","600","00000000",""
"812","AWG","AWG","","00000000",""
"812","AZM","AZM","","00000000",""
"000","QAR","QAR","634","00000000",""
"812","BAD","BAD","","00000000",""
"000","RMB","CNY","156","00000000",""
"812","BBD","BBD","","00000000",""
"812","BDT","BDT","","00000000",""
"000","ROL","ROL","642","00000000",""
"812","BEF","BEF","","00000000",""
"000","RON","RON","","00000000",""
"812","BGL","BGL","","00000000",""
"812","BHD","BHD","","00000000",""
"000","RUB","RUB","643","00000000",""
"812","BIF","BIF","","00000000",""
"000","RWF","RWF","646","00000000",""
"812","BMD","BMD","","00000000",""
"812","BND","BND","","00000000",""
"000","SAR","SAR","682","00000000",""
"812","BOB","BOB","","00000000",""
"000","SBD","SBD","090","00000000",""
"812","BRL","BRL","","00000000",""
"000","SCR","SCR","690","00000000",""
"812","BSD","BSD","","00000000",""
"000","SDD","SDD","736","00000000",""
"812","BTN","BTN","","00000000",""
"000","SDP","SDP","736","00000000",""
"812","BWP","BWP","","00000000",""
"000","SEK","SEK","752","00000000",""
"812","BYR","BYR","","00000000",""
"000","SGD","SGD","702","00000000",""
