"MANDT","KURST","FCURR","TCURR","GDATU","FFACT","TFACT","ABWCT","ABWGA"
"000","EURX","DEM","PHP","81999898","1","1","","00000000"
"000","EURX","DEM","PLN","81999898","1","1","","00000000"
"000","EURX","DEM","ROL","81999898","1","1000","","00000000"
"000","EURX","DEM","RUB","81999898","1","1","","00000000"
"000","EURX","DEM","SAR","81999898","1","1","","00000000"
"000","EURX","DEM","SEK","81999898","1","1","","00000000"
"000","EURX","DEM","SGD","81999898","1","1","","00000000"
"000","EURX","DEM","SIT","81999898","1","1","","00000000"
"000","EURX","DEM","SKK","81999898","1","1","","00000000"
"000","EURX","DEM","THB","81999898","1","1","","00000000"
"811","M","ESP","BEF","80009898","100","1","EURO","00000000"
"000","EURX","DEM","TRL","81999898","1","100000","","00000000"
"000","EURX","DEM","TWD","81999898","1","1","","00000000"
"811","M","ESP","DEM","80009898","100","1","EURO","00000000"
"000","EURX","DEM","UAH","81999898","1","1","","00000000"
"000","EURX","DEM","VEB","81999898","1","1","","00000000"
"811","M","ESP","FIM","80009898","100","1","EURO","00000000"
"000","EURX","DEM","ZAR","81999898","1","1","","00000000"
"000","EURX","DKK","GRD","81999898","1","1","","00000000"
"000","EURX","DKK","IEP","81999898","1","1","","00000000"
"811","M","ESP","FRF","80009898","1","1","EURO","00000000"
"000","EURX","DKK","LUF","81999898","1","1","","00000000"
"000","EURX","ESP","CHF","81999898","100","1","","00000000"
"811","M","ESP","ITL","80009898","1","1","EURO","00000000"
"800","M","PTE","NLG","81999898","100","1","","00000000"
"000","EURX","ESP","DKK","81999898","100","1","","00000000"
"811","M","ESP","LUF","80009898","100","1","EURO","00000000"
"000","EURX","ESP","GRD","81999898","1","1","","00000000"
"811","M","ESP","NLG","80009898","100","1","EURO","00000000"
"800","M","PTE","SEK","81999898","100","1","","00000000"
"000","EURX","ESP","JPY","81999898","100","1","","00000000"
"811","M","ESP","PTE","80009898","1","1","EURO","00000000"
"800","M","PTE","USD","81999898","100","1","","00000000"
"000","EURX","ESP","NOK","81999898","100","1","","00000000"
"812","EURO","FIM","LUF","81999898","1","1","","00000000"
"811","M","FIM","BEF","80009898","1","1","EURO","00000000"
"000","EURX","ESP","SEK","81999898","100","1","","00000000"
"800","M","ROL","DEM","81999898","10000","1","","00000000"
"000","EURX","EUR","AED","81999898","1","1","","00000000"
"811","M","FIM","DEM","80009898","1","1","EURO","00000000"
"812","EURO","FIM","NLG","81999898","1","1","","00000000"
"800","M","ROL","EUR","81999898","1000","1","","00000000"
"000","EURX","EUR","ARS","81999898","1","1","","00000000"
"812","EURO","FIM","PTE","81999898","1","1","","00000000"
"811","M","FIM","ESP","80009898","1","1","EURO","00000000"
"000","EURX","EUR","AUD","81999898","1","1","","00000000"
"800","M","ROL","JPY","81999898","100","1","","00000000"
"811","M","FIM","FRF","80009898","1","1","EURO","00000000"
"000","EURX","EUR","BGN","81999898","1","1","","00000000"
"812","EURO","FRF","ATS","81999898","1","1","","00000000"
"800","M","ROL","USD","81999898","1000","1","","00000000"
"811","M","FIM","ITL","80009898","1","1","EURO","00000000"
"000","EURX","EUR","BRL","81999898","1","1","","00000000"
"800","M","RUB","DEM","81999898","100","1","","00000000"
"812","EURO","FRF","BEF","81999898","1","1","","00000000"
"811","M","FIM","LUF","80009898","1","1","EURO","00000000"
"800","M","SIT","DEM","81999898","100","1","","00000000"
"000","EURX","EUR","CAD","81999898","1","1","","00000000"
"812","EURO","FRF","ESP","81999898","1","1","","00000000"
"800","M","SIT","JPY","81999898","100","1","","00000000"
"811","M","FIM","NLG","80009898","1","1","EURO","00000000"
"000","EURX","EUR","CHF","81999898","1","1","","00000000"
"812","EURO","FRF","FIM","81999898","1","1","","00000000"
"800","M","SKK","DEM","81999898","100","1","","00000000"
"811","M","FIM","PTE","80009898","1","1","EURO","00000000"
"000","EURX","EUR","CLP","81999898","1","1","","00000000"
"812","EURO","FRF","IEP","81999898","1","1","","00000000"
"800","M","USD","EUR","81999898","1","1","EURX","00000000"
"811","M","FRF","BEF","80009898","1","1","EURO","00000000"
"000","EURX","EUR","CNY","81999898","1","1","","00000000"
