"MANDT","KURST","FCURR","TCURR","GDATU","UKURS","FFACT","TFACT"
"811","EURG","USD","EUR","80009782","-0.98660","0","0"
"800","EURX","SIT","EUR","79949495","-218.90010","0","0"
"811","EURG","USD","EUR","80009898","-1.14980","0","0"
"800","EURX","SIT","EUR","79949496","-218.90010","0","0"
"001","M","RUB","UAH","79989898","0.19060","0","0"
"811","EURX","AED","EUR","80009898","-4.35887","0","0"
"800","EURX","SIT","EUR","79949497","-218.90010","0","0"
"800","EURX","CZK","EUR","79958792","-30.70800","0","0"
"811","EURX","ARS","EUR","80009898","-1.18738","0","0"
"800","EURX","SIT","EUR","79949570","-218.90010","0","0"
"001","M","RUB","USD","79989898","-28.51500","0","0"
"800","EURX","GBP","EUR","79949898","-70.71000","0","0"
"800","EURX","CZK","EUR","79958793","-30.75000","0","0"
"811","EURX","ATS","EUR","81999898","-13.76030","0","0"
"800","EURX","SIT","EUR","79949571","-218.90010","0","0"
"001","M","SAR","JPY","79989898","30.65400","0","0"
"800","EURX","SIT","EUR","79949572","-218.90010","0","0"
"811","EURX","AUD","EUR","80009898","-1.91976","0","0"
"800","EURX","CZK","EUR","79958794","-30.79000","0","0"
"800","EURX","GBP","EUR","79959197","-65.91000","0","0"
"001","M","SAR","USD","79989898","-3.74340","0","0"
"800","EURX","SIT","EUR","79949573","-218.90010","0","0"
"811","EURX","BEF","EUR","81999898","-40.33990","0","0"
"800","EURX","CZK","EUR","79958795","-30.79000","0","0"
"800","EURX","GBP","EUR","79959198","-66.04000","0","0"
"001","M","SEK","CHF","79989898","17.04500","0","0"
"800","EURX","SIT","EUR","79949574","-218.90010","0","0"
"811","EURX","BRL","EUR","80009898","-1.43554","0","0"
"800","EURX","CZK","EUR","79958796","-30.79000","0","0"
"800","EURX","SIT","EUR","79949577","-218.90010","0","0"
"800","EURX","GBP","EUR","79959268","-66.04000","0","0"
"001","M","SEK","GBP","79989898","-14.13000","0","0"
"811","EURX","BRL","EUR","81999898","-1.43554","0","0"
"800","EURX","SIT","EUR","79949578","-218.90010","0","0"
"800","EURX","CZK","EUR","79958797","-30.86800","0","0"
"811","EURX","CHF","EUR","80009898","-1.60001","0","0"
