"MANDT","KURST","XINVR","BWAER","XBWRL","GKUZU","BKUZU","XFIXD","XEURO"
"000","100*","","","","","","",""
"000","1001","","","","","","",""
"000","1002","","","","","","",""
"000","1003","","","","","","",""
"000","1004","","","","","","",""
"000","200*","","","","","","",""
"000","2001","","","","","","",""
"000","2002","","","","","","",""
"000","2003","","","","","","",""
"000","2004","","","","","","",""
"000","B","","","","","","",""
"000","EURO","","EUR","Y","","","X","X"
"000","EURX","","EUR","Y","","","","X"
"000","G","","","","","","",""
"000","GTSC","","","","","","",""
"000","I","","","","","","",""
"000","M","","","","","","",""
"000","P","","","","","","",""
"001","100*","","","","","","",""
"001","1001","","","","","","",""
"001","1002","","","","","","",""
"001","1003","","","","","","",""
"001","1004","","","","","","",""
"001","200*","","","","","","",""
"001","2001","","","","","","",""
"001","2002","","","","","","",""
"001","2003","","","","","","",""
"001","2004","","","","","","",""
"001","B","","","","","","",""
"001","EURO","","EUR","Y","","","X","X"
"001","EURX","","EUR","Y","","","","X"
"001","G","","","","","","",""
"001","GTSC","","","","","","",""
"001","I","","","","","","",""
"001","M","","","","","","",""
"001","P","","","","","","",""
"800","001","","","","","","",""
"800","0011","","","","","","",""
"800","001D","","","","","","",""
"800","0021","","","","","","",""
"800","0022","","","","","","",""
"800","100*","","","","","","",""
"800","1001","X","","","","","",""
"800","1002","X","","","","","",""
"800","1003","","","","","","",""
"800","1004","","","","","","",""
"800","1005","","","","","","",""
"800","1006","","","","","","",""
"800","1011","","","","","","",""
"800","1012","","","","","","",""
"800","1013","","","","","","",""
"800","1014","","","","","","",""
"800","200*","","","","","","",""
"800","2001","","","","","","",""
"800","2002","","","","","","",""
"800","2003","","","","","","",""
"800","2004","","","","","","",""
"800","2011","","","","","","",""
"800","2012","","","","","","",""
"800","2013","","","","","","",""
"800","2014","","","","","","",""
"800","B","","","","","","",""
"800","EURB","","EUR","Y","","","","X"
"800","EURG","","EUR","Y","","","","X"
"800","EURO","","EUR","Y","","","X","X"
"800","EURX","","EUR","Y","","","","X"
"800","G","","","","","","",""
"800","I","","","","","","",""
"800","ICBP","","","","","ICMP","",""
"800","ICBS","","","","","ICMS","",""
"800","ICGP","","","","ICMP","","",""
"800","ICGS","","","","ICMS","","",""
"800","ICMP","","EUR","","","","",""
"800","ICMS","","EUR","","","","",""
"800","INT","X","","","","","",""
"800","M","X","","","","","",""
"800","P","","","","","","",""
"810","001D","","","","","","",""
"810","001G","","","","","","",""
"810","001H","","","","","","",""
"810","001S","","","","","","",""
"810","001V","","","","","","",""
"810","1001","","","","","","",""
"810","1002","","","","","","",""
"810","1003","","","","","","",""
"810","1004","","","","","","",""
"810","1011","","","","","","",""
"810","1012","","","","","","",""
"810","1013","","","","","","",""
"810","1014","","","","","","",""
"810","2001","","","","","","",""
"810","2002","","","","","","",""
"810","2003","","","","","","",""
"810","2004","","","","","","",""
"810","2011","","","","","","",""
"810","2012","","","","","","",""
"810","2013","","","","","","",""
"810","2014","","","","","","",""
"810","B","X","","","","","",""
"810","G","X","","","","","",""
"810","M","","","","","","",""
"810","P","","","","","","",""
"811","001","","","","","","",""
"811","0011","","","","","","",""
"811","001D","","","","","","",""
"811","001G","","","","","","",""
"811","001H","","","","","","",""
"811","001S","","","","","","",""
"811","001V","","","","","","",""
"811","0021","","","","","","",""
"811","0022","","","","","","",""
"811","1001","","","","","","",""
"811","1002","","","","","","",""
"811","1003","","","","","","",""
"811","1004","","","","","","",""
"811","1005","","","","","","",""
"811","1006","","","","","","",""
"811","1011","","","","","","",""
"811","1012","","","","","","",""
"811","1013","","","","","","",""
"811","1014","","","","","","",""
"811","2001","","","","","","",""
"811","2002","","","","","","",""
"811","2003","","","","","","",""
"811","2004","","","","","","",""
"811","2011","","","","","","",""
"811","2012","","","","","","",""
"811","2013","","","","","","",""
"811","2014","","","","","","",""
"811","B","","","","","","",""
"811","EURB","","EUR","Y","","","","X"
"811","EURG","","EUR","Y","","","","X"
"811","EURO","","EUR","Y","","","X","X"
"811","EURX","","EUR","Y","","","","X"
"811","G","","","","","","",""
"811","INT","X","","","","","",""
"811","M","X","","","","","",""
"811","P","","","","","","",""
"812","100*","","","","","","",""
"812","1001","","","","","","",""
"812","1002","","","","","","",""
"812","1003","","","","","","",""
"812","1004","","","","","","",""
"812","200*","","","","","","",""
"812","2001","","","","","","",""
"812","2002","","","","","","",""
"812","2003","","","","","","",""
"812","2004","","","","","","",""
"812","B","","","","","M","",""
"812","EURO","","EUR","Y","","","X","X"
"812","G","","","","M","","",""
"812","I","","","","","","",""
"812","M","","","","","","",""
"812","P","","","","","","",""
